,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,26/01/2000 01:30:15,94.0,,0.109,0.162,0.153
2,26/01/2000 01:30:30,279.0,1.0,0.153,0.109,0.012
3,26/01/2000 01:30:45,12.0,1.0,0.012,0.153,0.013
4,26/01/2000 01:31:00,0.0,1.0,0.013,0.012,0.013
5,26/01/2000 01:31:15,0.0,1.0,0.013,0.013,0.43
6,26/01/2000 01:31:30,398.0,1.0,0.43,0.013,0.022
7,26/01/2000 01:31:45,201.0,1.0,0.022,0.43,0.014
8,26/01/2000 01:32:00,7.0,1.0,0.014,0.022,0.007
9,26/01/2000 01:32:15,0.0,1.0,0.007,0.014,0.02
10,26/01/2000 01:32:30,10.0,1.0,0.02,0.007,0.014
11,26/01/2000 01:32:45,14.0,1.0,0.014,0.02,0.015
12,26/01/2000 01:33:00,2.0,1.0,0.015,0.014,0.042
13,26/01/2000 01:33:15,48.0,1.0,0.042,0.015,0.047
14,26/01/2000 01:33:30,97.0,1.0,0.047,0.042,0.003
15,26/01/2000 01:33:45,0.0,1.0,0.003,0.047,0.002
16,26/01/2000 01:34:00,0.0,1.0,0.002,0.003,0.009
17,26/01/2000 01:34:15,0.0,1.0,0.009,0.002,0.016
18,26/01/2000 01:34:30,42.0,1.0,0.016,0.009,0.082
19,26/01/2000 01:34:45,82.0,1.0,0.082,0.016,0.002
20,26/01/2000 01:35:00,6.0,1.0,0.002,0.082,0.002
21,26/01/2000 01:35:15,0.0,0.0,0.002,0.002,0.002
22,26/01/2000 01:35:30,0.0,0.0,0.002,0.002,0.003
23,26/01/2000 01:35:45,0.0,0.0,0.003,0.002,0.003
24,26/01/2000 01:36:00,0.0,0.0,0.003,0.003,0.003
25,26/01/2000 01:36:15,0.0,0.0,0.003,0.003,0.003
26,26/01/2000 01:36:30,0.0,0.0,0.003,0.003,0.003
27,26/01/2000 01:36:45,0.0,0.0,0.003,0.003,0.003
28,26/01/2000 01:37:00,0.0,0.0,0.003,0.003,0.002
29,26/01/2000 01:37:15,0.0,0.0,0.002,0.003,0.002
30,26/01/2000 01:37:30,0.0,0.0,0.002,0.002,0.002
31,26/01/2000 01:37:45,0.0,0.0,0.002,0.002,0.01
32,26/01/2000 01:38:00,0.0,0.0,0.01,0.002,0.031
33,26/01/2000 01:38:15,50.0,1.0,0.031,0.01,0.003
34,26/01/2000 01:38:30,0.0,0.0,0.003,0.031,0.003
35,26/01/2000 01:38:45,0.0,0.0,0.003,0.003,0.003
36,26/01/2000 01:39:00,0.0,0.0,0.003,0.003,0.003
37,26/01/2000 01:39:15,0.0,0.0,0.003,0.003,0.004
38,26/01/2000 01:39:30,0.0,0.0,0.004,0.003,0.003
39,26/01/2000 01:39:45,0.0,0.0,0.003,0.004,0.003
40,26/01/2000 01:40:00,0.0,0.0,0.003,0.003,0.003
41,26/01/2000 01:40:15,0.0,0.0,0.003,0.003,0.003
42,26/01/2000 01:40:30,0.0,0.0,0.003,0.003,0.004
43,26/01/2000 01:40:45,0.0,0.0,0.004,0.003,0.004
44,26/01/2000 01:41:00,0.0,0.0,0.004,0.004,0.021
45,26/01/2000 01:41:15,25.0,1.0,0.021,0.004,0.003
46,26/01/2000 01:41:30,0.0,0.0,0.003,0.021,0.003
47,26/01/2000 01:41:45,0.0,0.0,0.003,0.003,0.003
48,26/01/2000 01:42:00,0.0,0.0,0.003,0.003,0.003
49,26/01/2000 01:42:15,0.0,0.0,0.003,0.003,0.003
50,26/01/2000 01:42:30,0.0,0.0,0.003,0.003,0.003
51,26/01/2000 01:42:45,0.0,0.0,0.003,0.003,0.003
52,26/01/2000 01:43:00,0.0,0.0,0.003,0.003,0.003
53,26/01/2000 01:43:15,0.0,0.0,0.003,0.003,0.003
