,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,05/01/2000 01:02:15,113,,0.064,0.053,0.136
2,05/01/2000 01:02:30,134,,0.136,0.064,0.165
3,05/01/2000 01:02:45,113,,0.165,0.136,0.12
4,05/01/2000 01:03:00,88,1.0,0.12,0.165,0.057
5,05/01/2000 01:03:15,44,1.0,0.057,0.12,0.075
6,05/01/2000 01:03:30,58,1.0,0.075,0.057,0.12
7,05/01/2000 01:03:45,94,1.0,0.12,0.075,0.018
8,05/01/2000 01:04:00,4,1.0,0.018,0.12,0.005
9,05/01/2000 01:04:15,0,1.0,0.005,0.018,0.018
10,05/01/2000 01:04:30,7,1.0,0.018,0.005,0.096
11,05/01/2000 01:04:45,73,1.0,0.096,0.018,0.462
12,05/01/2000 01:05:00,482,1.0,0.462,0.096,0.192
13,05/01/2000 01:05:15,188,1.0,0.192,0.462,0.217
14,05/01/2000 01:05:30,298,1.0,0.217,0.192,0.231
15,05/01/2000 01:05:45,298,1.0,0.231,0.217,0.311
16,05/01/2000 01:06:00,270,1.0,0.311,0.231,0.129
17,05/01/2000 01:06:15,117,1.0,0.129,0.311,0.146
18,05/01/2000 01:06:30,154,1.0,0.146,0.129,0.078
19,05/01/2000 01:06:45,91,1.0,0.078,0.146,0.081
20,05/01/2000 01:07:00,113,1.0,0.081,0.078,0.033
21,05/01/2000 01:07:15,30,1.0,0.033,0.081,0.17
22,05/01/2000 01:07:30,154,1.0,0.17,0.033,0.226
23,05/01/2000 01:07:45,288,1.0,0.226,0.17,0.246
24,05/01/2000 01:08:00,279,1.0,0.246,0.226,0.092
25,05/01/2000 01:08:15,125,1.0,0.092,0.246,0.013
26,05/01/2000 01:08:30,19,1.0,0.013,0.092,0.007
27,05/01/2000 01:08:45,0,1.0,0.007,0.013,0.077
28,05/01/2000 01:09:00,101,1.0,0.077,0.007,0.006
29,05/01/2000 01:09:15,0,1.0,0.006,0.077,0.005
30,05/01/2000 01:09:30,0,1.0,0.005,0.006,0.006
31,05/01/2000 01:09:45,0,1.0,0.006,0.005,0.005
32,05/01/2000 01:10:00,0,0.0,0.005,0.006,0.005
33,05/01/2000 01:10:15,0,0.0,0.005,0.005,0.005
34,05/01/2000 01:10:30,0,0.0,0.005,0.005,0.005
35,05/01/2000 01:10:45,0,0.0,0.005,0.005,0.005
36,05/01/2000 01:11:00,0,0.0,0.005,0.005,0.005
