,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,28/01/2000 04:45:15,62,1.0,0.063,0.049,0.094
2,28/01/2000 04:45:30,52,1.0,0.094,0.063,0.098
3,28/01/2000 04:45:45,188,1.0,0.098,0.094,0.097
4,28/01/2000 04:46:00,88,1.0,0.097,0.098,0.077
5,28/01/2000 04:46:15,50,1.0,0.077,0.097,0.076
6,28/01/2000 04:46:30,82,1.0,0.076,0.077,0.018
7,28/01/2000 04:46:45,10,1.0,0.018,0.076,0.017
8,28/01/2000 04:47:00,0,1.0,0.017,0.018,0.037
9,28/01/2000 04:47:15,8,1.0,0.037,0.017,0.039
10,28/01/2000 04:47:30,30,1.0,0.039,0.037,0.022
11,28/01/2000 04:47:45,0,1.0,0.022,0.039,0.019
12,28/01/2000 04:48:00,0,1.0,0.019,0.022,0.024
13,28/01/2000 04:48:15,8,1.0,0.024,0.019,0.021
14,28/01/2000 04:48:30,0,1.0,0.021,0.024,0.045
15,28/01/2000 04:48:45,50,1.0,0.045,0.021,0.018
16,28/01/2000 04:49:00,4,1.0,0.018,0.045,0.094
17,28/01/2000 04:49:15,67,1.0,0.094,0.018,0.065
18,28/01/2000 04:49:30,82,1.0,0.065,0.094,0.056
19,28/01/2000 04:49:45,40,1.0,0.056,0.065,0.072
20,28/01/2000 04:50:00,105,1.0,0.072,0.056,0.159
21,28/01/2000 04:50:15,139,1.0,0.159,0.072,0.193
22,28/01/2000 04:50:30,194,1.0,0.193,0.159,0.198
23,28/01/2000 04:50:45,208,1.0,0.198,0.193,0.227
24,28/01/2000 04:51:00,298,1.0,0.227,0.198,0.239
25,28/01/2000 04:51:15,298,1.0,0.239,0.227,0.173
26,28/01/2000 04:51:30,245,1.0,0.173,0.239,0.007
27,28/01/2000 04:51:45,6,1.0,0.007,0.173,0.004
28,28/01/2000 04:52:00,0,1.0,0.004,0.007,0.306
29,28/01/2000 04:52:15,318,1.0,0.306,0.004,0.111
30,28/01/2000 04:52:30,139,1.0,0.111,0.306,0.003
31,28/01/2000 04:52:45,0,1.0,0.003,0.111,0.008
32,28/01/2000 04:53:00,0,1.0,0.008,0.003,0.022
33,28/01/2000 04:53:15,22,1.0,0.022,0.008,0.019
34,28/01/2000 04:53:30,3,1.0,0.019,0.022,0.031
35,28/01/2000 04:53:45,101,1.0,0.031,0.019,0.002
36,28/01/2000 04:54:00,0,1.0,0.002,0.031,0.002
37,28/01/2000 04:54:15,0,1.0,0.002,0.002,0.002
38,28/01/2000 04:54:30,0,1.0,0.002,0.002,0.002
39,28/01/2000 04:54:45,0,0.0,0.002,0.002,0.071
40,28/01/2000 04:55:00,82,1.0,0.071,0.002,0.003
41,28/01/2000 04:55:15,0,0.0,0.003,0.071,0.005
42,28/01/2000 04:55:30,5,1.0,0.005,0.003,0.003
43,28/01/2000 04:55:45,0,0.0,0.003,0.005,0.002
44,28/01/2000 04:56:00,0,0.0,0.002,0.003,0.002
45,28/01/2000 04:56:15,0,0.0,0.002,0.002,0.003
46,28/01/2000 04:56:30,0,0.0,0.003,0.002,0.004
47,28/01/2000 04:56:45,0,0.0,0.004,0.003,0.003
48,28/01/2000 04:57:00,0,0.0,0.003,0.004,0.016
49,28/01/2000 04:57:15,0,0.0,0.016,0.003,0.04
50,28/01/2000 04:57:30,20,1.0,0.04,0.016,0.036
51,28/01/2000 04:57:45,42,1.0,0.036,0.04,0.058
