,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,24/01/2000 22:47:15,94.0,1.0,0.089,0.058,0.092
2,24/01/2000 22:47:30,76.0,1.0,0.092,0.089,0.115
3,24/01/2000 22:47:45,73.0,1.0,0.115,0.092,0.229
4,24/01/2000 22:48:00,308.0,1.0,0.229,0.115,0.014
5,24/01/2000 22:48:15,36.0,1.0,0.014,0.229,0.003
6,24/01/2000 22:48:30,0.0,1.0,0.003,0.014,0.005
7,24/01/2000 22:48:45,3.0,1.0,0.005,0.003,0.006
8,24/01/2000 22:49:00,8.0,1.0,0.006,0.005,0.006
9,24/01/2000 22:49:15,13.0,1.0,0.006,0.006,0.006
10,24/01/2000 22:49:30,18.0,1.0,0.006,0.006,0.013
11,24/01/2000 22:49:45,9.0,1.0,0.013,0.006,0.007
12,24/01/2000 22:50:00,11.0,1.0,0.007,0.013,0.006
13,24/01/2000 22:50:15,4.0,0.0,0.006,0.007,0.004
14,24/01/2000 22:50:30,0.0,0.0,0.004,0.006,0.006
15,24/01/2000 22:50:45,6.0,0.0,0.006,0.004,0.015
16,24/01/2000 22:51:00,19.0,1.0,0.015,0.006,0.007
17,24/01/2000 22:51:15,0.0,0.0,0.007,0.015,0.005
18,24/01/2000 22:51:30,4.0,0.0,0.005,0.007,0.009
19,24/01/2000 22:51:45,17.0,1.0,0.009,0.005,0.007
20,24/01/2000 22:52:00,2.0,0.0,0.007,0.009,0.003
21,24/01/2000 22:52:15,2.0,0.0,0.003,0.007,0.003
22,24/01/2000 22:52:30,2.0,0.0,0.003,0.003,0.003
23,24/01/2000 22:52:45,0.0,0.0,0.003,0.003,0.003
24,24/01/2000 22:53:00,0.0,0.0,0.003,0.003,0.003
25,24/01/2000 22:53:15,0.0,0.0,0.003,0.003,0.003
26,24/01/2000 22:53:30,3.0,0.0,0.003,0.003,0.003
27,24/01/2000 22:53:45,0.0,0.0,0.003,0.003,0.004
28,24/01/2000 22:54:00,0.0,0.0,0.004,0.003,0.009
29,24/01/2000 22:54:15,2.0,0.0,0.009,0.004,0.019
30,24/01/2000 22:54:30,22.0,1.0,0.019,0.009,0.003
31,24/01/2000 22:54:45,0.0,0.0,0.003,0.019,0.005
32,24/01/2000 22:55:00,2.0,0.0,0.005,0.003,0.008
33,24/01/2000 22:55:15,8.0,1.0,0.008,0.005,0.007
34,24/01/2000 22:55:30,18.0,1.0,0.007,0.008,0.005
35,24/01/2000 22:55:45,10.0,1.0,0.005,0.007,0.005
36,24/01/2000 22:56:00,5.0,1.0,0.005,0.005,0.005
37,24/01/2000 22:56:15,7.0,1.0,0.005,0.005,0.006
38,24/01/2000 22:56:30,17.0,1.0,0.006,0.005,0.005
39,24/01/2000 22:56:45,25.0,1.0,0.005,0.006,0.005
40,24/01/2000 22:57:00,13.0,1.0,0.005,0.005,0.004
