,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,23/01/2000 23:17:15,194.0,,0.176,0.162,0.037
2,23/01/2000 23:17:30,54.0,,0.037,0.176,0.019
3,23/01/2000 23:17:45,12.0,1.0,0.019,0.037,0.027
4,23/01/2000 23:18:00,34.0,1.0,0.027,0.019,0.011
5,23/01/2000 23:18:15,0.0,1.0,0.011,0.027,0.067
6,23/01/2000 23:18:30,67.0,1.0,0.067,0.011,0.014
7,23/01/2000 23:18:45,5.0,1.0,0.014,0.067,0.011
8,23/01/2000 23:19:00,0.0,1.0,0.011,0.014,0.013
9,23/01/2000 23:19:15,0.0,1.0,0.013,0.011,0.028
10,23/01/2000 23:19:30,26.0,1.0,0.028,0.013,0.006
11,23/01/2000 23:19:45,0.0,0.0,0.006,0.028,0.029
12,23/01/2000 23:20:00,50.0,1.0,0.029,0.006,0.026
13,23/01/2000 23:20:15,3.0,1.0,0.026,0.029,0.009
14,23/01/2000 23:20:30,25.0,1.0,0.009,0.026,0.007
15,23/01/2000 23:20:45,6.0,1.0,0.007,0.009,0.02
16,23/01/2000 23:21:00,7.0,1.0,0.02,0.007,0.01
17,23/01/2000 23:21:15,0.0,0.0,0.01,0.02,0.014
18,23/01/2000 23:21:30,4.0,1.0,0.014,0.01,0.031
19,23/01/2000 23:21:45,29.0,1.0,0.031,0.014,0.037
20,23/01/2000 23:22:00,42.0,1.0,0.037,0.031,0.001
21,23/01/2000 23:22:15,0.0,0.0,0.001,0.037,0.002
22,23/01/2000 23:22:30,0.0,0.0,0.002,0.001,0.001
23,23/01/2000 23:22:45,0.0,0.0,0.001,0.002,0.001
24,23/01/2000 23:23:00,0.0,0.0,0.001,0.001,0.001
25,23/01/2000 23:23:15,0.0,1.0,0.001,0.001,0.001
26,23/01/2000 23:23:30,0.0,1.0,0.001,0.001,0.037
27,23/01/2000 23:23:45,12.0,1.0,0.037,0.001,0.077
28,23/01/2000 23:24:00,113.0,1.0,0.077,0.037,0.003
29,23/01/2000 23:24:15,0.0,1.0,0.003,0.077,0.037
30,23/01/2000 23:24:30,32.0,1.0,0.037,0.003,0.039
31,23/01/2000 23:24:45,50.0,1.0,0.039,0.037,0.04
32,23/01/2000 23:25:00,30.0,1.0,0.04,0.039,0.165
33,23/01/2000 23:25:15,229.0,1.0,0.165,0.04,0.051
34,23/01/2000 23:25:30,32.0,1.0,0.051,0.165,0.017
35,23/01/2000 23:25:45,5.0,1.0,0.017,0.051,0.081
36,23/01/2000 23:26:00,88.0,1.0,0.081,0.017,0.039
37,23/01/2000 23:26:15,20.0,1.0,0.039,0.081,0.04
38,23/01/2000 23:26:30,17.0,1.0,0.04,0.039,0.003
39,23/01/2000 23:26:45,0.0,1.0,0.003,0.04,0.034
40,23/01/2000 23:27:00,19.0,1.0,0.034,0.003,0.052
41,23/01/2000 23:27:15,52.0,1.0,0.052,0.034,0.052
42,23/01/2000 23:27:30,52.0,1.0,0.052,0.052,0.023
43,23/01/2000 23:27:45,15.0,1.0,0.023,0.052,0.012
44,23/01/2000 23:28:00,5.0,1.0,0.012,0.023,0.021
45,23/01/2000 23:28:15,11.0,1.0,0.021,0.012,0.057
46,23/01/2000 23:28:30,58.0,1.0,0.057,0.021,0.062
47,23/01/2000 23:28:45,88.0,1.0,0.062,0.057,0.044
48,23/01/2000 23:29:00,40.0,1.0,0.044,0.062,0.071
49,23/01/2000 23:29:15,73.0,1.0,0.071,0.044,0.006
50,23/01/2000 23:29:30,0.0,1.0,0.006,0.071,0.011
51,23/01/2000 23:29:45,6.0,1.0,0.011,0.006,0.007
52,23/01/2000 23:30:00,3.0,1.0,0.007,0.011,0.004
53,23/01/2000 23:30:15,0.0,0.0,0.004,0.007,0.008
54,23/01/2000 23:30:30,0.0,0.0,0.008,0.004,0.004
55,23/01/2000 23:30:45,0.0,0.0,0.004,0.008,0.003
56,23/01/2000 23:31:00,0.0,0.0,0.003,0.004,0.003
57,23/01/2000 23:31:15,0.0,0.0,0.003,0.003,0.011
58,23/01/2000 23:31:30,3.0,1.0,0.011,0.003,0.013
59,23/01/2000 23:31:45,4.0,1.0,0.013,0.011,0.072
60,23/01/2000 23:32:00,94.0,1.0,0.072,0.013,0.006
61,23/01/2000 23:32:15,0.0,1.0,0.006,0.072,0.003
62,23/01/2000 23:32:30,0.0,1.0,0.003,0.006,0.048
63,23/01/2000 23:32:45,34.0,1.0,0.048,0.003,0.15
64,23/01/2000 23:33:00,229.0,1.0,0.15,0.048,0.016
65,23/01/2000 23:33:15,38.0,1.0,0.016,0.15,0.002
66,23/01/2000 23:33:30,0.0,1.0,0.002,0.016,0.002
67,23/01/2000 23:33:45,0.0,1.0,0.002,0.002,0.002
68,23/01/2000 23:34:00,0.0,1.0,0.002,0.002,0.002
69,23/01/2000 23:34:15,0.0,1.0,0.002,0.002,0.044
70,23/01/2000 23:34:30,42.0,1.0,0.044,0.002,0.129
71,23/01/2000 23:34:45,176.0,1.0,0.129,0.044,0.052
72,23/01/2000 23:35:00,101.0,1.0,0.052,0.129,0.004
73,23/01/2000 23:35:15,0.0,1.0,0.004,0.052,0.003
74,23/01/2000 23:35:30,0.0,1.0,0.003,0.004,0.002
75,23/01/2000 23:35:45,0.0,1.0,0.002,0.003,0.007
76,23/01/2000 23:36:00,0.0,0.0,0.007,0.002,0.002
77,23/01/2000 23:36:15,3.0,0.0,0.002,0.007,0.002
78,23/01/2000 23:36:30,0.0,0.0,0.002,0.002,0.002
79,23/01/2000 23:36:45,0.0,0.0,0.002,0.002,0.002
80,23/01/2000 23:37:00,0.0,0.0,0.002,0.002,0.002
81,23/01/2000 23:37:15,0.0,0.0,0.002,0.002,0.002
82,23/01/2000 23:37:30,0.0,1.0,0.002,0.002,0.002
83,23/01/2000 23:37:45,0.0,1.0,0.002,0.002,0.002
84,23/01/2000 23:38:00,0.0,1.0,0.002,0.002,0.005
85,23/01/2000 23:38:15,0.0,1.0,0.005,0.002,0.18
86,23/01/2000 23:38:30,261.0,1.0,0.18,0.005,0.087
87,23/01/2000 23:38:45,121.0,1.0,0.087,0.18,0.015
88,23/01/2000 23:39:00,22.0,1.0,0.015,0.087,0.004
89,23/01/2000 23:39:15,0.0,1.0,0.004,0.015,0.003
90,23/01/2000 23:39:30,0.0,1.0,0.003,0.004,0.004
91,23/01/2000 23:39:45,0.0,0.0,0.004,0.003,0.002
92,23/01/2000 23:40:00,0.0,0.0,0.002,0.004,0.003
93,23/01/2000 23:40:15,0.0,0.0,0.003,0.002,0.003
94,23/01/2000 23:40:30,0.0,0.0,0.003,0.003,0.003
95,23/01/2000 23:40:45,0.0,0.0,0.003,0.003,0.003
96,23/01/2000 23:41:00,0.0,0.0,0.003,0.003,0.003
97,23/01/2000 23:41:15,0.0,0.0,0.003,0.003,0.003
98,23/01/2000 23:41:30,0.0,0.0,0.003,0.003,0.003
99,23/01/2000 23:41:45,0.0,0.0,0.003,0.003,0.003
100,23/01/2000 23:42:00,0.0,0.0,0.003,0.003,0.003
101,23/01/2000 23:42:15,0.0,0.0,0.003,0.003,0.039
102,23/01/2000 23:42:30,58.0,1.0,0.039,0.003,0.003
103,23/01/2000 23:42:45,0.0,0.0,0.003,0.039,0.017
104,23/01/2000 23:43:00,6.0,1.0,0.017,0.003,0.004
105,23/01/2000 23:43:15,10.0,1.0,0.004,0.017,0.064
106,23/01/2000 23:43:30,105.0,1.0,0.064,0.004,0.003
107,23/01/2000 23:43:45,0.0,0.0,0.003,0.064,0.003
108,23/01/2000 23:44:00,0.0,0.0,0.003,0.003,0.003
109,23/01/2000 23:44:15,0.0,0.0,0.003,0.003,0.003
110,23/01/2000 23:44:30,0.0,0.0,0.003,0.003,0.003
111,23/01/2000 23:44:45,0.0,0.0,0.003,0.003,0.003
112,23/01/2000 23:45:00,0.0,0.0,0.003,0.003,0.003
113,23/01/2000 23:45:15,0.0,0.0,0.003,0.003,0.003
114,23/01/2000 23:45:30,0.0,0.0,0.003,0.003,0.003
115,23/01/2000 23:45:45,0.0,0.0,0.003,0.003,0.003
116,23/01/2000 23:46:00,0.0,0.0,0.003,0.003,0.003
117,23/01/2000 23:46:15,0.0,0.0,0.003,0.003,0.003
118,23/01/2000 23:46:30,0.0,0.0,0.003,0.003,0.003
119,23/01/2000 23:46:45,0.0,0.0,0.003,0.003,0.003
120,23/01/2000 23:47:00,0.0,0.0,0.003,0.003,0.003
121,23/01/2000 23:47:15,0.0,0.0,0.003,0.003,0.003
122,23/01/2000 23:47:30,0.0,0.0,0.003,0.003,0.003
123,23/01/2000 23:47:45,0.0,0.0,0.003,0.003,0.003
124,23/01/2000 23:48:00,0.0,0.0,0.003,0.003,0.003
125,23/01/2000 23:48:15,0.0,0.0,0.003,0.003,0.023
126,23/01/2000 23:48:30,23.0,1.0,0.023,0.003,0.005
127,23/01/2000 23:48:45,14.0,1.0,0.005,0.023,0.003
128,23/01/2000 23:49:00,0.0,0.0,0.003,0.005,0.004
129,23/01/2000 23:49:15,0.0,0.0,0.004,0.003,0.004
130,23/01/2000 23:49:30,0.0,0.0,0.004,0.004,0.004
131,23/01/2000 23:49:45,0.0,0.0,0.004,0.004,0.004
132,23/01/2000 23:50:00,0.0,0.0,0.004,0.004,0.004
133,23/01/2000 23:50:15,0.0,0.0,0.004,0.004,0.004
134,23/01/2000 23:50:30,0.0,0.0,0.004,0.004,0.004
135,23/01/2000 23:50:45,0.0,0.0,0.004,0.004,0.004
136,23/01/2000 23:51:00,0.0,0.0,0.004,0.004,0.004
137,23/01/2000 23:51:15,0.0,0.0,0.004,0.004,0.004
138,23/01/2000 23:51:30,0.0,0.0,0.004,0.004,0.004
139,23/01/2000 23:51:45,0.0,0.0,0.004,0.004,0.004
140,23/01/2000 23:52:00,0.0,0.0,0.004,0.004,0.004
