,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,20/01/2000 21:36:15,,,0.11,0.085,0.054
2,20/01/2000 21:36:30,144.0,,0.054,0.11,0.769
3,20/01/2000 21:36:45,514.0,,0.769,0.054,0.095
4,20/01/2000 21:37:00,164.0,,0.095,0.769,0.088
5,20/01/2000 21:37:15,101.0,,0.088,0.095,0.019
6,20/01/2000 21:37:30,25.0,1.0,0.019,0.088,0.126
7,20/01/2000 21:37:45,182.0,1.0,0.126,0.019,0.024
8,20/01/2000 21:38:00,13.0,1.0,0.024,0.126,0.058
9,20/01/2000 21:38:15,101.0,1.0,0.058,0.024,0.101
10,20/01/2000 21:38:30,194.0,1.0,0.101,0.058,0.044
11,20/01/2000 21:38:45,38.0,1.0,0.044,0.101,0.023
12,20/01/2000 21:39:00,34.0,1.0,0.023,0.044,0.015
13,20/01/2000 21:39:15,21.0,1.0,0.015,0.023,0.018
14,20/01/2000 21:39:30,6.0,1.0,0.018,0.015,0.009
15,20/01/2000 21:39:45,0.0,0.0,0.009,0.018,0.009
16,20/01/2000 21:40:00,0.0,0.0,0.009,0.009,0.009
17,20/01/2000 21:40:15,0.0,0.0,0.009,0.009,0.009
18,20/01/2000 21:40:30,0.0,0.0,0.009,0.009,0.009
19,20/01/2000 21:40:45,0.0,0.0,0.009,0.009,0.009
20,20/01/2000 21:41:00,0.0,0.0,0.009,0.009,0.009
21,20/01/2000 21:41:15,0.0,0.0,0.009,0.009,0.009
22,20/01/2000 21:41:30,0.0,0.0,0.009,0.009,0.008
23,20/01/2000 21:41:45,0.0,0.0,0.008,0.009,0.008
24,20/01/2000 21:42:00,0.0,0.0,0.008,0.008,0.008
25,20/01/2000 21:42:15,0.0,0.0,0.008,0.008,0.008
26,20/01/2000 21:42:30,0.0,0.0,0.008,0.008,0.008
27,20/01/2000 21:42:45,0.0,0.0,0.008,0.008,0.008
28,20/01/2000 21:43:00,0.0,0.0,0.008,0.008,0.008
29,20/01/2000 21:43:15,0.0,0.0,0.008,0.008,0.008
30,20/01/2000 21:43:30,0.0,0.0,0.008,0.008,0.008
31,20/01/2000 21:43:45,0.0,0.0,0.008,0.008,0.008
32,20/01/2000 21:44:00,0.0,0.0,0.008,0.008,0.008
33,20/01/2000 21:44:15,0.0,0.0,0.008,0.008,0.008
34,20/01/2000 21:44:30,0.0,0.0,0.008,0.008,0.008
35,20/01/2000 21:44:45,0.0,0.0,0.008,0.008,0.008
36,20/01/2000 21:45:00,0.0,0.0,0.008,0.008,0.008
37,20/01/2000 21:45:15,0.0,0.0,0.008,0.008,0.008
