,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,22/01/2000 20:58:15,109.0,,0.228,0.21,0.217
2,22/01/2000 20:58:30,170.0,,0.217,0.228,0.268
3,22/01/2000 20:58:45,91.0,,0.268,0.217,0.222
4,22/01/2000 20:59:00,101.0,,0.222,0.268,0.262
5,22/01/2000 20:59:15,125.0,1.0,0.262,0.222,0.283
6,22/01/2000 20:59:30,105.0,1.0,0.283,0.262,0.314
7,22/01/2000 20:59:45,176.0,1.0,0.314,0.283,0.329
8,22/01/2000 21:00:00,105.0,1.0,0.329,0.314,0.444
9,22/01/2000 21:00:15,159.0,1.0,0.444,0.329,0.522
10,22/01/2000 21:00:30,215.0,1.0,0.522,0.444,0.516
11,22/01/2000 21:00:45,208.0,1.0,0.516,0.522,0.318
12,22/01/2000 21:01:00,91.0,1.0,0.318,0.516,0.348
13,22/01/2000 21:01:15,97.0,1.0,0.348,0.318,0.302
14,22/01/2000 21:01:30,134.0,1.0,0.302,0.348,0.292
15,22/01/2000 21:01:45,125.0,1.0,0.292,0.302,0.306
16,22/01/2000 21:02:00,117.0,1.0,0.306,0.292,0.273
17,22/01/2000 21:02:15,76.0,1.0,0.273,0.306,0.243
18,22/01/2000 21:02:30,73.0,1.0,0.243,0.273,0.276
19,22/01/2000 21:02:45,385.0,1.0,0.276,0.243,0.005
20,22/01/2000 21:03:00,2.0,1.0,0.005,0.276,0.002
21,22/01/2000 21:03:15,0.0,1.0,0.002,0.005,0.002
22,22/01/2000 21:03:30,0.0,1.0,0.002,0.002,0.002
23,22/01/2000 21:03:45,0.0,1.0,0.002,0.002,0.002
24,22/01/2000 21:04:00,0.0,0.0,0.002,0.002,0.002
25,22/01/2000 21:04:15,0.0,0.0,0.002,0.002,0.002
26,22/01/2000 21:04:30,0.0,0.0,0.002,0.002,0.002
27,22/01/2000 21:04:45,0.0,0.0,0.002,0.002,0.002
28,22/01/2000 21:05:00,0.0,0.0,0.002,0.002,0.002
29,22/01/2000 21:05:15,0.0,0.0,0.002,0.002,0.002
30,22/01/2000 21:05:30,0.0,0.0,0.002,0.002,0.002
31,22/01/2000 21:05:45,0.0,0.0,0.002,0.002,0.002
32,22/01/2000 21:06:00,0.0,0.0,0.002,0.002,0.002
33,22/01/2000 21:06:15,0.0,0.0,0.002,0.002,0.002
34,22/01/2000 21:06:30,0.0,0.0,0.002,0.002,0.002
35,22/01/2000 21:06:45,0.0,0.0,0.002,0.002,0.002
36,22/01/2000 21:07:00,0.0,0.0,0.002,0.002,0.002
37,22/01/2000 21:07:15,0.0,0.0,0.002,0.002,0.011
38,22/01/2000 21:07:30,0.0,0.0,0.011,0.002,0.016
39,22/01/2000 21:07:45,0.0,0.0,0.016,0.011,0.049
40,22/01/2000 21:08:00,2.0,0.0,0.049,0.016,0.058
41,22/01/2000 21:08:15,11.0,1.0,0.058,0.049,0.056
42,22/01/2000 21:08:30,6.0,0.0,0.056,0.058,0.063
43,22/01/2000 21:08:45,16.0,1.0,0.063,0.056,0.062
44,22/01/2000 21:09:00,2.0,0.0,0.062,0.063,0.096
45,22/01/2000 21:09:15,19.0,1.0,0.096,0.062,0.09
46,22/01/2000 21:09:30,17.0,1.0,0.09,0.096,0.047
47,22/01/2000 21:09:45,0.0,0.0,0.047,0.09,0.066
48,22/01/2000 21:10:00,12.0,1.0,0.066,0.047,0.039
49,22/01/2000 21:10:15,2.0,0.0,0.039,0.066,0.041
50,22/01/2000 21:10:30,2.0,0.0,0.041,0.039,0.047
51,22/01/2000 21:10:45,0.0,0.0,0.047,0.041,0.05
52,22/01/2000 21:11:00,11.0,1.0,0.05,0.047,0.065
53,22/01/2000 21:11:15,20.0,1.0,0.065,0.05,0.034
54,22/01/2000 21:11:30,0.0,0.0,0.034,0.065,0.068
55,22/01/2000 21:11:45,17.0,1.0,0.068,0.034,0.086
56,22/01/2000 21:12:00,36.0,1.0,0.086,0.068,0.068
57,22/01/2000 21:12:15,12.0,1.0,0.068,0.086,0.072
58,22/01/2000 21:12:30,9.0,1.0,0.072,0.068,0.069
59,22/01/2000 21:12:45,19.0,1.0,0.069,0.072,0.072
