,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,18/01/2000 00:21:15,121.0,,0.028,0.049,0.037
2,18/01/2000 00:21:30,70.0,1.0,0.037,0.028,0.07
3,18/01/2000 00:21:45,105.0,1.0,0.07,0.037,0.072
4,18/01/2000 00:22:00,50.0,1.0,0.072,0.07,0.08
5,18/01/2000 00:22:15,42.0,1.0,0.08,0.072,0.077
6,18/01/2000 00:22:30,46.0,1.0,0.077,0.08,1.187
7,18/01/2000 00:22:45,361.0,1.0,1.187,0.077,0.277
8,18/01/2000 00:23:00,129.0,1.0,0.277,1.187,0.003
9,18/01/2000 00:23:15,0.0,1.0,0.003,0.277,0.084
10,18/01/2000 00:23:30,144.0,1.0,0.084,0.003,0.002
11,18/01/2000 00:23:45,0.0,1.0,0.002,0.084,0.004
12,18/01/2000 00:24:00,3.0,1.0,0.004,0.002,0.002
13,18/01/2000 00:24:15,0.0,1.0,0.002,0.004,0.002
14,18/01/2000 00:24:30,0.0,1.0,0.002,0.002,0.002
15,18/01/2000 00:24:45,0.0,0.0,0.002,0.002,0.002
16,18/01/2000 00:25:00,0.0,0.0,0.002,0.002,0.002
17,18/01/2000 00:25:15,0.0,0.0,0.002,0.002,0.023
18,18/01/2000 00:25:30,25.0,1.0,0.023,0.002,0.003
19,18/01/2000 00:25:45,0.0,0.0,0.003,0.023,0.003
20,18/01/2000 00:26:00,0.0,0.0,0.003,0.003,0.007
21,18/01/2000 00:26:15,0.0,0.0,0.007,0.003,0.003
22,18/01/2000 00:26:30,0.0,0.0,0.003,0.007,0.003
23,18/01/2000 00:26:45,0.0,0.0,0.003,0.003,0.004
24,18/01/2000 00:27:00,0.0,0.0,0.004,0.003,0.003
25,18/01/2000 00:27:15,0.0,0.0,0.003,0.004,0.003
26,18/01/2000 00:27:30,0.0,0.0,0.003,0.003,0.003
27,18/01/2000 00:27:45,0.0,0.0,0.003,0.003,0.003
28,18/01/2000 00:28:00,0.0,0.0,0.003,0.003,0.003
29,18/01/2000 00:28:15,0.0,0.0,0.003,0.003,0.003
30,18/01/2000 00:28:30,0.0,0.0,0.003,0.003,0.003
31,18/01/2000 00:28:45,0.0,0.0,0.003,0.003,0.003
32,18/01/2000 00:29:00,0.0,0.0,0.003,0.003,0.003
33,18/01/2000 00:29:15,0.0,0.0,0.003,0.003,0.003
34,18/01/2000 00:29:30,0.0,0.0,0.003,0.003,0.003
35,18/01/2000 00:29:45,0.0,0.0,0.003,0.003,0.003
36,18/01/2000 00:30:00,0.0,0.0,0.003,0.003,0.003
37,18/01/2000 00:30:15,0.0,0.0,0.003,0.003,0.003
38,18/01/2000 00:30:30,0.0,0.0,0.003,0.003,0.003
39,18/01/2000 00:30:45,0.0,0.0,0.003,0.003,0.003
40,18/01/2000 00:31:00,0.0,0.0,0.003,0.003,0.003
41,18/01/2000 00:31:15,0.0,0.0,0.003,0.003,0.003
42,18/01/2000 00:31:30,0.0,0.0,0.003,0.003,0.004
43,18/01/2000 00:31:45,0.0,0.0,0.004,0.003,0.022
44,18/01/2000 00:32:00,7.0,0.0,0.022,0.004,0.003
45,18/01/2000 00:32:15,0.0,0.0,0.003,0.022,0.003
46,18/01/2000 00:32:30,0.0,0.0,0.003,0.003,0.003
47,18/01/2000 00:32:45,0.0,0.0,0.003,0.003,0.003
48,18/01/2000 00:33:00,0.0,0.0,0.003,0.003,0.003
49,18/01/2000 00:33:15,0.0,0.0,0.003,0.003,0.003
50,18/01/2000 00:33:30,0.0,0.0,0.003,0.003,0.003
51,18/01/2000 00:33:45,0.0,0.0,0.003,0.003,0.003
52,18/01/2000 00:34:00,0.0,0.0,0.003,0.003,0.003
53,18/01/2000 00:34:15,0.0,0.0,0.003,0.003,0.012
54,18/01/2000 00:34:30,18.0,1.0,0.012,0.003,0.003
55,18/01/2000 00:34:45,0.0,0.0,0.003,0.012,0.003
56,18/01/2000 00:35:00,0.0,0.0,0.003,0.003,0.003
57,18/01/2000 00:35:15,0.0,0.0,0.003,0.003,0.003
58,18/01/2000 00:35:30,0.0,0.0,0.003,0.003,0.003
59,18/01/2000 00:35:45,0.0,0.0,0.003,0.003,0.003
60,18/01/2000 00:36:00,0.0,0.0,0.003,0.003,0.003
