,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,26/01/2000 22:44:15,318.0,,0.101,0.119,0.018
2,26/01/2000 22:44:30,54.0,,0.018,0.101,0.033
3,26/01/2000 22:44:45,60.0,,0.033,0.018,0.033
4,26/01/2000 22:45:00,62.0,,0.033,0.033,0.073
5,26/01/2000 22:45:15,91.0,1.0,0.073,0.033,0.098
6,26/01/2000 22:45:30,52.0,1.0,0.098,0.073,0.062
7,26/01/2000 22:45:45,113.0,1.0,0.062,0.098,0.245
8,26/01/2000 22:46:00,288.0,1.0,0.245,0.062,0.205
9,26/01/2000 22:46:15,339.0,1.0,0.205,0.245,0.163
10,26/01/2000 22:46:30,182.0,1.0,0.163,0.205,0.098
11,26/01/2000 22:46:45,149.0,1.0,0.098,0.163,0.127
12,26/01/2000 22:47:00,188.0,1.0,0.127,0.098,0.138
13,26/01/2000 22:47:15,215.0,1.0,0.138,0.127,0.075
14,26/01/2000 22:47:30,91.0,1.0,0.075,0.138,0.005
15,26/01/2000 22:47:45,0.0,1.0,0.005,0.075,0.087
16,26/01/2000 22:48:00,94.0,1.0,0.087,0.005,0.087
17,26/01/2000 22:48:15,129.0,1.0,0.087,0.087,0.003
18,26/01/2000 22:48:30,0.0,1.0,0.003,0.087,0.004
19,26/01/2000 22:48:45,0.0,1.0,0.004,0.003,0.003
20,26/01/2000 22:49:00,0.0,1.0,0.003,0.004,0.003
21,26/01/2000 22:49:15,0.0,1.0,0.003,0.003,0.003
22,26/01/2000 22:49:30,0.0,0.0,0.003,0.003,0.003
23,26/01/2000 22:49:45,0.0,0.0,0.003,0.003,0.003
24,26/01/2000 22:50:00,0.0,0.0,0.003,0.003,0.003
25,26/01/2000 22:50:15,0.0,0.0,0.003,0.003,0.003
26,26/01/2000 22:50:30,0.0,0.0,0.003,0.003,0.003
27,26/01/2000 22:50:45,0.0,0.0,0.003,0.003,0.004
28,26/01/2000 22:51:00,0.0,0.0,0.004,0.003,0.003
29,26/01/2000 22:51:15,0.0,0.0,0.003,0.004,0.003
30,26/01/2000 22:51:30,0.0,0.0,0.003,0.003,0.003
31,26/01/2000 22:51:45,0.0,0.0,0.003,0.003,0.003
32,26/01/2000 22:52:00,0.0,0.0,0.003,0.003,0.003
33,26/01/2000 22:52:15,0.0,0.0,0.003,0.003,0.002
34,26/01/2000 22:52:30,0.0,0.0,0.002,0.003,0.002
