,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
2,02/01/2000 00:44:30,,,0.094,0.07,0.11
3,02/01/2000 00:44:45,,,0.11,0.094,0.05
4,02/01/2000 00:45:00,,,0.05,0.11,0.056
5,02/01/2000 00:45:15,76.0,,0.056,0.05,0.034
6,02/01/2000 00:45:30,58.0,,0.034,0.056,0.086
7,02/01/2000 00:45:45,70.0,,0.086,0.034,0.117
8,02/01/2000 00:46:00,94.0,,0.117,0.086,0.196
9,02/01/2000 00:46:15,288.0,1.0,0.196,0.117,0.017
10,02/01/2000 00:46:30,22.0,1.0,0.017,0.196,0.019
11,02/01/2000 00:46:45,9.0,1.0,0.019,0.017,0.017
12,02/01/2000 00:47:00,15.0,1.0,0.017,0.019,0.025
13,02/01/2000 00:47:15,38.0,1.0,0.025,0.017,0.011
14,02/01/2000 00:47:30,9.0,1.0,0.011,0.025,0.108
15,02/01/2000 00:47:45,91.0,1.0,0.108,0.011,0.236
16,02/01/2000 00:48:00,328.0,1.0,0.236,0.108,0.056
17,02/01/2000 00:48:15,121.0,1.0,0.056,0.236,0.004
18,02/01/2000 00:48:30,9.0,1.0,0.004,0.056,0.002
19,02/01/2000 00:48:45,0.0,1.0,0.002,0.004,0.002
20,02/01/2000 00:49:00,0.0,1.0,0.002,0.002,0.001
21,02/01/2000 00:49:15,0.0,1.0,0.001,0.002,0.03
22,02/01/2000 00:49:30,32.0,1.0,0.03,0.001,0.004
23,02/01/2000 00:49:45,5.0,1.0,0.004,0.03,0.003
24,02/01/2000 00:50:00,0.0,1.0,0.003,0.004,0.004
25,02/01/2000 00:50:15,0.0,1.0,0.004,0.003,0.112
26,02/01/2000 00:50:30,170.0,1.0,0.112,0.004,0.032
27,02/01/2000 00:50:45,50.0,1.0,0.032,0.112,0.017
28,02/01/2000 00:51:00,32.0,1.0,0.017,0.032,0.011
29,02/01/2000 00:51:15,5.0,1.0,0.011,0.017,0.026
