,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,11/01/2000 00:32:15,,,0.001,0.001,0.001
2,11/01/2000 00:32:30,,,0.001,0.001,0.001
3,11/01/2000 00:32:45,,,0.001,0.001,0.001
4,11/01/2000 00:33:00,,,0.001,0.001,0.001
5,11/01/2000 00:33:15,,,0.001,0.001,0.001
6,11/01/2000 00:33:30,,,0.001,0.001,0.032
7,11/01/2000 00:33:45,,,0.032,0.001,0.063
8,11/01/2000 00:34:00,,,0.063,0.032,0.064
9,11/01/2000 00:34:15,,,0.064,0.063,0.048
10,11/01/2000 00:34:30,113.0,,0.048,0.064,0.05
11,11/01/2000 00:34:45,85.0,,0.05,0.048,0.008
12,11/01/2000 00:35:00,3.0,,0.008,0.05,0.5
13,11/01/2000 00:35:15,318.0,,0.5,0.008,0.303
14,11/01/2000 00:35:30,237.0,1.0,0.303,0.5,0.049
15,11/01/2000 00:35:45,38.0,1.0,0.049,0.303,0.33
16,11/01/2000 00:36:00,261.0,1.0,0.33,0.049,0.16
17,11/01/2000 00:36:15,245.0,1.0,0.16,0.33,0.077
18,11/01/2000 00:36:30,144.0,1.0,0.077,0.16,0.015
19,11/01/2000 00:36:45,34.0,1.0,0.015,0.077,0.002
20,11/01/2000 00:37:00,0.0,1.0,0.002,0.015,0.001
21,11/01/2000 00:37:15,0.0,1.0,0.001,0.002,0.018
22,11/01/2000 00:37:30,17.0,1.0,0.018,0.001,0.001
23,11/01/2000 00:37:45,0.0,0.0,0.001,0.018,0.001
24,11/01/2000 00:38:00,0.0,0.0,0.001,0.001,0.001
25,11/01/2000 00:38:15,0.0,0.0,0.001,0.001,0.001
26,11/01/2000 00:38:30,0.0,0.0,0.001,0.001,0.002
27,11/01/2000 00:38:45,0.0,0.0,0.002,0.001,0.001
28,11/01/2000 00:39:00,0.0,0.0,0.001,0.002,0.001
29,11/01/2000 00:39:15,0.0,0.0,0.001,0.001,0.004
30,11/01/2000 00:39:30,0.0,0.0,0.004,0.001,0.002
31,11/01/2000 00:39:45,0.0,0.0,0.002,0.004,0.002
32,11/01/2000 00:40:00,0.0,0.0,0.002,0.002,0.001
