,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after
1,19/01/2000 18:14:15,25.0,,0.029,0.052,0.037
2,19/01/2000 18:14:30,38.0,,0.037,0.029,0.024
3,19/01/2000 18:14:45,38.0,,0.024,0.037,0.031
4,19/01/2000 18:15:00,50.0,1.0,0.031,0.024,0.012
5,19/01/2000 18:15:15,5.0,1.0,0.012,0.031,0.031
6,19/01/2000 18:15:30,46.0,1.0,0.031,0.012,0.01
7,19/01/2000 18:15:45,6.0,1.0,0.01,0.031,0.011
8,19/01/2000 18:16:00,4.0,1.0,0.011,0.01,0.015
9,19/01/2000 18:16:15,18.0,1.0,0.015,0.011,0.025
10,19/01/2000 18:16:30,38.0,1.0,0.025,0.015,0.024
11,19/01/2000 18:16:45,29.0,1.0,0.024,0.025,0.023
12,19/01/2000 18:17:00,40.0,1.0,0.023,0.024,0.01
13,19/01/2000 18:17:15,11.0,1.0,0.01,0.023,0.012
14,19/01/2000 18:17:30,14.0,1.0,0.012,0.01,0.014
15,19/01/2000 18:17:45,16.0,1.0,0.014,0.012,0.006
16,19/01/2000 18:18:00,4.0,1.0,0.006,0.014,0.013
17,19/01/2000 18:18:15,10.0,1.0,0.013,0.006,0.01
18,19/01/2000 18:18:30,9.0,1.0,0.01,0.013,0.052
19,19/01/2000 18:18:45,67.0,1.0,0.052,0.01,0.083
20,19/01/2000 18:19:00,121.0,1.0,0.083,0.052,0.005
21,19/01/2000 18:19:15,0.0,1.0,0.005,0.083,0.037
22,19/01/2000 18:19:30,56.0,1.0,0.037,0.005,0.013
23,19/01/2000 18:19:45,4.0,1.0,0.013,0.037,0.01
24,19/01/2000 18:20:00,3.0,1.0,0.01,0.013,0.012
25,19/01/2000 18:20:15,8.0,1.0,0.012,0.01,0.008
26,19/01/2000 18:20:30,0.0,1.0,0.008,0.012,0.015
27,19/01/2000 18:20:45,7.0,1.0,0.015,0.008,0.043
28,19/01/2000 18:21:00,60.0,1.0,0.043,0.015,0.013
29,19/01/2000 18:21:15,15.0,1.0,0.013,0.043,0.02
30,19/01/2000 18:21:30,14.0,1.0,0.02,0.013,0.022
31,19/01/2000 18:21:45,26.0,1.0,0.022,0.02,0.031
32,19/01/2000 18:22:00,32.0,1.0,0.031,0.022,0.009
33,19/01/2000 18:22:15,4.0,1.0,0.009,0.031,0.014
34,19/01/2000 18:22:30,13.0,1.0,0.014,0.009,0.019
35,19/01/2000 18:22:45,27.0,1.0,0.019,0.014,0.043
36,19/01/2000 18:23:00,62.0,1.0,0.043,0.019,0.015
37,19/01/2000 18:23:15,22.0,1.0,0.015,0.043,0.019
38,19/01/2000 18:23:30,17.0,1.0,0.019,0.015,0.022
39,19/01/2000 18:23:45,38.0,1.0,0.022,0.019,0.025
40,19/01/2000 18:24:00,26.0,1.0,0.025,0.022,0.024
41,19/01/2000 18:24:15,28.0,1.0,0.024,0.025,0.043
42,19/01/2000 18:24:30,52.0,1.0,0.043,0.024,0.052
43,19/01/2000 18:24:45,46.0,1.0,0.052,0.043,0.039
44,19/01/2000 18:25:00,40.0,1.0,0.039,0.052,0.033
45,19/01/2000 18:25:15,36.0,1.0,0.033,0.039,0.043
46,19/01/2000 18:25:30,56.0,1.0,0.043,0.033,0.037
47,19/01/2000 18:25:45,46.0,1.0,0.037,0.043,0.347
48,19/01/2000 18:26:00,424.0,1.0,0.347,0.037,0.08
49,19/01/2000 18:26:15,164.0,1.0,0.08,0.347,0.023
50,19/01/2000 18:26:30,18.0,1.0,0.023,0.08,0.04
51,19/01/2000 18:26:45,46.0,1.0,0.04,0.023,0.052
52,19/01/2000 18:27:00,42.0,1.0,0.052,0.04,0.08
53,19/01/2000 18:27:15,70.0,1.0,0.08,0.052,0.056
54,19/01/2000 18:27:30,56.0,1.0,0.056,0.08,0.033
55,19/01/2000 18:27:45,0.0,1.0,0.033,0.056,0.037
56,19/01/2000 18:28:00,0.0,1.0,0.037,0.033,0.039
57,19/01/2000 18:28:15,2.0,1.0,0.039,0.037,0.039
58,19/01/2000 18:28:30,0.0,0.0,0.039,0.039,0.042
59,19/01/2000 18:28:45,32.0,1.0,0.042,0.039,0.029
